,0
0,0.50666285
1,0.43455437
2,0.9175207
3,0.0004412584
4,0.028654791
5,0.4725156
6,0.004270801
7,0.13001673
8,0.20743361
9,0.8620531
10,0.014132364
11,0.0058122664
12,0.85999274
13,0.6116127
14,0.02969224
15,0.0019147779
16,0.9669442
17,0.10011108
18,0.09267764
19,0.11671429
20,0.00024215029
21,0.62656367
22,2.4100658e-05
23,0.0006357661
24,0.21678373
25,0.022435104
26,0.9987718
27,3.227348e-05
28,0.9806752
29,0.7743624
30,0.016055353
31,0.7113764
32,0.38698938
33,0.09864304
34,0.7455047
35,0.003963976
36,0.99768984
37,0.17581712
38,0.999825
39,0.099546455
40,0.012771705
41,0.86511356
42,0.0031688793
43,0.944777
44,0.62265205
45,0.93821543
46,0.81516725
47,0.7552367
48,0.06487055
49,0.98678654
50,0.02655254
51,0.037064258
52,0.18286872
53,0.2996635
54,0.8284978
55,0.9996767
56,0.2572979
57,0.83324766
58,0.01327423
59,0.012897143
60,0.012292575
61,0.06407948
62,0.0002702177
63,0.0008674646
64,0.0004126438
65,0.106888264
66,0.9487476
67,0.57288194
68,0.09757998
69,0.83923167
70,0.0063917087
71,0.99686265
72,0.44473076
73,0.01935253
74,0.9959624
75,0.006273708
76,0.0061596553
77,0.006262227
78,0.18675752
79,0.113603495
80,0.08794733
81,0.00023589341
82,0.76292384
83,0.5900462
84,0.99527425
85,0.25467223
86,0.00020509207
87,0.9957882
88,0.0002124355
89,0.00089871377
90,0.087327294
91,0.9910214
92,0.001741364
93,0.046624523
94,0.39519998
95,0.004573987
96,0.041128922
97,0.11657854
98,0.830407
99,0.12220303
100,0.015729584
101,0.1805255
102,0.0113019105
103,0.07852079
104,0.98992795
105,0.106661454
106,0.0131637445
107,0.22524238
108,0.00074623554
109,0.2537982
110,0.14074805
111,0.0004161625
112,4.2633606e-06
113,0.057553746
114,0.0005624046
115,0.0048035807
116,0.5893183
117,0.036065947
118,0.99610865
119,0.032667086
120,0.00016417463
121,0.00358734
122,0.060702916
123,0.022069644
124,0.116570726
125,0.9928695
126,0.14124304
127,0.0078505585
128,0.0023918513
129,0.014281242
130,0.05952027
131,0.02463308
132,0.0021145425
133,0.84619135
134,0.99902254
135,0.0061921696
136,0.03107945
137,0.078290515
138,0.00080751075
139,0.0015356872
140,0.46353891
141,0.008720752
142,0.00806031
143,0.3263713
144,0.008320485
145,0.7780062
146,0.4228298
147,0.99394983
148,0.0018109902
149,0.99959904
150,0.0025583897
151,0.03748268
152,0.36173177
153,0.31750587
154,0.2977407
155,0.84548396
156,0.042345293
157,0.0946594
158,0.0054683355
159,0.00016940571
160,0.48561272
161,0.0017011657
162,0.8964989
163,0.0030045526
164,0.06593634
165,0.35488725
166,0.0112206945
167,0.92162544
168,0.46983653
169,0.42182913
170,0.99948734
171,0.02892409
172,0.03292245
173,0.00063342875
174,0.7708265
175,0.049752936
176,0.073132195
177,0.01130584
178,0.11686105
179,0.00014304223
180,0.7183316
181,0.3394243
182,0.061932176
183,0.88336796
184,0.9999371
185,0.009022898
186,0.0034479478
187,0.0069231233
188,0.001973206
189,0.19058634
190,0.5285928
191,0.0150518585
192,0.84935594
193,0.21521547
194,0.016314803
195,0.003495423
196,0.03659407
197,0.28041074
198,0.027031574
199,0.6347231
200,0.6218213
201,0.0020251423
202,0.0688591
203,0.0068768407
204,0.92919517
205,0.9872674
206,0.00666865
207,0.050898
208,0.00049949484
209,0.0016324299
210,0.00198471
211,0.999885
212,0.9947415
213,0.06299654
214,0.012297495
215,0.9036396
216,0.98970073
217,0.4473434
218,0.99877524
219,0.57938886
220,0.32091245
221,0.004019508
222,0.999384
223,0.00928171
224,0.0934959
225,0.034771822
226,0.02211763
227,0.047685158
228,0.7696276
229,0.02035006
230,0.99623716
231,0.08753258
232,0.0048316675
233,0.17162758
234,0.7388195
235,0.21328674
236,0.007369959
237,0.007818637
238,0.99874383
239,0.00087975996
240,0.010814544
241,0.00053398794
242,0.20257676
243,0.1405194
244,0.2288783
245,0.091044866
246,0.9905603
247,0.014732073
248,0.9588242
249,0.9950916
250,0.4063841
251,0.19715866
252,0.9402096
253,0.00059639564
254,0.99792784
255,0.029793723
256,0.86612874
257,0.3519655
258,0.994412
259,0.0066799023
260,0.9903377
261,0.020953229
262,0.43002418
263,0.63192433
264,0.9998928
265,0.15157714
266,0.00010493425
267,0.007935166
268,0.009781577
269,0.0003867588
270,0.9992072
271,0.0002803663
272,0.834221
273,0.034500174
274,0.021641944
275,0.008751068
276,0.0073401537
277,0.005183429
278,0.9701123
279,0.9881328
280,0.6885639
281,0.9652232
282,0.78388816
283,0.0024383
284,0.012368437
285,0.10157565
286,0.5486482
287,0.14365639
288,0.0032556674
289,0.044501252
290,0.011774613
291,0.87253743
292,0.8498521
293,0.35621223
294,0.9316718
295,0.062276825
296,0.6419702
297,0.206756
298,0.99934405
299,0.042040072
300,0.0070914323
301,0.9817298
302,0.03206476
303,0.49537256
304,0.05169683
305,0.0010499276
306,0.5492486
307,0.15672119
308,0.76966554
309,0.8220081
310,0.23618694
311,0.0892139
312,0.94451207
313,0.29443026
314,0.45666498
315,0.8786216
316,0.99082893
317,0.33626738
318,0.009573692
319,0.0010879367
320,0.104079366
321,0.03697916
322,0.91229796
323,0.0015449853
324,9.957003e-05
325,0.00046843287
326,0.98964244
327,0.6922504
328,0.97741187
329,0.06255775
330,0.092418544
331,0.0004957785
332,0.64413005
333,0.044828165
334,0.23774998
335,0.023415376
336,0.064377315
337,0.0045760255
338,0.99855584
339,0.9808302
340,0.03135158
341,0.046246734
342,0.08206268
343,0.07639999
344,0.119597875
345,0.025652342
346,0.002470791
347,0.69343376
348,0.9950051
349,0.0011568762
350,0.0046775048
351,0.45735165
352,7.463778e-05
353,0.0028849598
354,0.94487166
355,0.10193038
356,0.0006608086
357,0.0019453998
358,0.03671487
359,0.016883884
360,0.8164033
361,0.030329144
362,0.040417183
363,0.26816356
364,0.060457718
365,0.0014378438
366,0.9000376
367,0.11199234
368,0.72332644
369,0.021084122
370,0.0018837533
371,0.06932166
372,0.13466354
373,0.11883609
374,0.9980423
375,0.0087627815
376,0.5391853
377,0.7367628
378,0.13258365
379,0.83041114
380,0.021344146
381,0.034694478
382,0.013220335
383,0.8947724
384,0.80639875
385,0.7079417
386,0.0006704229
387,0.017386692
388,0.99978757
389,0.049369644
390,0.0010265176
391,0.5144568
392,0.99360883
393,0.17477594
394,0.003999385
395,2.6452262e-05
396,0.97087175
397,0.008535124
398,0.0018276687
399,0.0031839448
400,0.063326575
401,0.6930601
402,0.8109817
403,0.9999998
404,0.8704324
405,0.018639002
406,0.00615618
407,0.9662253
408,0.06298108
409,0.04969393
410,0.0012370204
411,0.54193074
412,0.000398307
413,0.0016255414
414,0.9748354
415,0.9832208
416,0.81334907
417,0.15596454
418,0.70782924
419,0.00019305611
420,0.99448764
421,0.54614365
422,0.9947465
423,0.68525136
424,0.004854485
425,0.08483744
426,0.44990155
427,0.37519065
428,2.4780627e-05
429,0.18735313
430,0.0008497668
431,0.00072909356
432,0.0046296734
433,0.52543175
434,0.034099206
435,0.014665328
436,0.99915475
437,0.005673356
438,0.014823663
439,0.00024234739
440,0.5190403
441,0.9974236
442,0.0008616328
443,6.142812e-06
444,0.2583537
445,0.0077465693
446,0.84152544
447,0.05331079
448,0.46009395
449,0.005391655
450,0.00018885234
451,0.017962437
452,0.044939905
453,0.99756855
454,0.980628
455,0.00023313431
456,0.046781316
457,0.3509417
458,0.00069820543
459,0.107690305
460,0.0064775175
461,0.96211046
462,0.00022174079
463,0.006647959
464,0.00032348494
465,0.043483477
466,0.8477787
467,0.8692666
468,0.0030320599
469,0.015766416
470,0.77745867
471,0.844167
472,0.06663882
473,0.034577757
474,0.13342315
475,0.30444402
476,0.44724303
477,0.016709946
478,0.010967412
479,0.016403202
480,0.012781478
481,0.7929308
482,0.002710875
483,0.5659623
484,0.99616617
485,0.41807413
486,0.05994603
487,0.1763129
488,0.014467285
489,0.7162061
490,0.0066091823
491,0.039831474
492,0.00048169293
493,0.96053755
494,0.06982546
495,0.19759431
496,0.99895525
497,0.93911517
498,0.14689428
499,0.8590104
500,0.8034381
501,0.79457515
502,0.026145209
503,0.99681205
504,0.28178743
505,0.42696682
506,0.04348039
507,0.7967558
508,0.9991249
509,0.006615107
510,0.3040168
511,0.002645954
512,0.58839434
513,0.89177585
514,0.944915
515,0.29232487
516,0.00014977799
517,0.4709845
518,0.018437957
519,0.9285221
520,0.52413076
521,0.5948677
522,0.007630159
523,0.83984834
524,0.03227506
525,0.08467018
526,0.00014667724
527,0.16032594
528,0.98188215
529,0.53219396
530,0.0037318545
531,0.0013154153
532,0.015399017
533,0.045882612
534,0.26904568
535,0.7162586
536,0.14190839
537,0.012055709
538,0.00360561
539,0.990983
540,0.13046476
541,0.3796469
542,0.015211274
543,0.0017101357
544,0.5723235
545,0.0046664462
546,0.4355624
547,0.9996562
548,0.0058010225
549,0.0018995531
550,0.0026033078
551,0.8701041
552,0.013160068
553,0.3747751
554,0.13748845
555,0.77579004
556,0.1532855
557,0.066894054
558,0.19341765
559,0.088614576
560,0.001689646
561,0.0044644224
562,0.7384364
563,0.13053353
564,0.7841868
565,0.6268129
566,0.00397168
567,0.0047491323
568,0.09300067
569,0.024070969
570,0.99958307
571,0.003865339
572,0.9987905
573,0.29970965
574,0.00025842898
575,0.99750656
576,6.666169e-05
577,0.31267747
578,0.22167084
579,0.56870526
580,0.65673804
581,0.87456745
582,0.93529075
583,0.00019038684
584,0.010324929
585,0.87802327
586,0.07022507
587,0.006089016
588,0.022048222
589,0.0058670184
590,0.0010904251
591,0.95413184
592,0.00019502219
593,0.0025686019
594,0.99961966
595,0.025429927
596,0.9939241
597,0.422433
598,0.95790225
599,0.54018855
600,0.60944885
601,0.7166631
602,0.0050677457
603,0.5955876
604,0.9972255
605,0.19852707
606,0.028459087
607,0.021788232
608,0.31810033
609,0.751933
610,0.9853897
611,0.098968305
612,0.008387758
613,0.5333987
614,0.00095615006
615,0.039674215
616,0.045964636
617,0.00040342507
618,0.9997319
619,0.00026834587
620,0.11514534
621,0.010758037
622,0.82308066
623,0.7417973
624,0.7670486
625,0.090139054
626,0.0031444258
627,0.019136375
628,0.9012159
629,0.50445426
630,0.9215973
631,0.00037402057
632,0.19916598
633,0.046791874
634,0.0051175347
635,0.0017078413
636,0.6333239
637,0.0016087252
638,0.04783902
639,0.997097
640,0.17185195
641,0.30193338
642,7.172067e-05
643,0.5461444
644,0.026938217
645,0.0018340952
646,0.14698093
647,0.0073301382
648,0.9950705
649,0.9641823
650,0.0007475265
651,0.0934278
652,0.70314074
653,0.2053512
654,0.00039670448
655,0.22724487
656,0.8525359
657,0.17520538
658,0.065170504
659,0.0017479887
660,0.0035576094
661,0.98303634
662,0.2890045
663,0.033466183
664,0.1633668
665,0.7445049
666,0.0034624517
667,0.0018075991
668,0.9938015
669,0.5247855
670,0.014543744
671,0.7877403
672,0.81716174
673,0.010753061
674,0.45347032
675,0.10550706
676,0.99959725
677,0.020321086
678,0.8483568
679,0.8814008
680,0.020320028
681,0.9988946
682,0.19295084
683,0.025718309
684,0.56510675
685,0.0023463648
686,0.01563471
687,0.28468117
688,0.6560392
689,0.0019856275
690,0.8260362
691,0.0049407687
692,0.007795286
693,0.80209285
694,0.30234337
695,0.008037301
696,0.16340637
697,0.007508297
698,0.87940496
699,0.0052373735
700,0.042667296
701,0.18523167
702,0.2623412
703,9.797392e-05
704,0.99982953
705,0.5262161
706,0.99835527
707,0.91852117
708,0.98099476
709,0.00260073
710,0.84676206
711,0.101806134
712,0.012282568
713,0.798477
714,0.78753334
715,0.8660175
716,0.03963159
717,0.98903126
718,0.019993665
719,0.99819523
720,0.04702041
721,0.03831839
722,0.048438344
723,0.0015745907
724,0.9984539
725,0.43720362
726,0.10720106
727,0.8313802
728,0.8393072
729,0.5528076
730,0.00083992066
731,0.0007965097
732,0.051469162
733,0.008382493
734,0.0035685096
735,0.020715175
736,0.011573513
737,0.2815567
738,0.84849435
739,0.013350699
740,0.9999854
741,0.022325885
742,0.0631863
743,0.022733899
744,0.052571703
745,0.04214059
746,0.016556116
747,0.00065039354
748,0.96672434
749,0.9944561
750,0.99813485
751,0.051039364
752,0.13248125
753,0.06614131
754,0.44694614
755,0.002518128
756,0.06071557
757,0.010420712
