Confidence of Model in Predicting True Label,Treatment
0.03659407,No Treatment (Control)
0.28041074,No Treatment (Control)
0.027031574,No Treatment (Control)
0.6347231,No Treatment (Control)
0.6218213,No Treatment (Control)
0.0020251423,No Treatment (Control)
0.0688591,No Treatment (Control)
0.0068768407,No Treatment (Control)
0.92919517,No Treatment (Control)
0.9872674,No Treatment (Control)
0.00666865,No Treatment (Control)
0.050898,No Treatment (Control)
0.00049949484,No Treatment (Control)
0.0016324299,No Treatment (Control)
0.00198471,No Treatment (Control)
0.999885,No Treatment (Control)
0.9947415,No Treatment (Control)
0.06299654,No Treatment (Control)
0.012297495,No Treatment (Control)
0.9036396,No Treatment (Control)
0.98970073,No Treatment (Control)
0.4473434,No Treatment (Control)
0.99877524,No Treatment (Control)
0.57938886,No Treatment (Control)
0.32091245,No Treatment (Control)
0.004019508,No Treatment (Control)
0.999384,No Treatment (Control)
0.00928171,No Treatment (Control)
0.0934959,No Treatment (Control)
0.034771822,No Treatment (Control)
0.02211763,No Treatment (Control)
0.047685158,No Treatment (Control)
0.7696276,No Treatment (Control)
0.02035006,No Treatment (Control)
0.99623716,No Treatment (Control)
0.08753258,No Treatment (Control)
0.0048316675,No Treatment (Control)
0.17162758,No Treatment (Control)
0.7388195,No Treatment (Control)
0.21328674,No Treatment (Control)
0.007369959,No Treatment (Control)
0.007818637,No Treatment (Control)
0.99874383,No Treatment (Control)
0.00087975996,No Treatment (Control)
0.010814544,No Treatment (Control)
0.00053398794,No Treatment (Control)
0.20257676,No Treatment (Control)
0.1405194,No Treatment (Control)
0.2288783,No Treatment (Control)
0.091044866,No Treatment (Control)
0.9905603,No Treatment (Control)
0.014732073,No Treatment (Control)
0.9588242,No Treatment (Control)
0.9950916,No Treatment (Control)
0.4063841,No Treatment (Control)
0.19715866,No Treatment (Control)
0.9402096,No Treatment (Control)
0.00059639564,No Treatment (Control)
0.99792784,No Treatment (Control)
0.029793723,No Treatment (Control)
0.86612874,No Treatment (Control)
0.3519655,No Treatment (Control)
0.994412,No Treatment (Control)
0.0066799023,No Treatment (Control)
0.9903377,No Treatment (Control)
0.020953229,No Treatment (Control)
0.43002418,No Treatment (Control)
0.63192433,No Treatment (Control)
0.9998928,No Treatment (Control)
0.15157714,No Treatment (Control)
0.00010493425,No Treatment (Control)
0.007935166,No Treatment (Control)
0.009781577,No Treatment (Control)
0.0003867588,No Treatment (Control)
0.9992072,No Treatment (Control)
0.0002803663,No Treatment (Control)
0.834221,No Treatment (Control)
0.034500174,No Treatment (Control)
0.021641944,No Treatment (Control)
0.008751068,No Treatment (Control)
0.0073401537,No Treatment (Control)
0.005183429,No Treatment (Control)
0.9701123,No Treatment (Control)
0.9881328,No Treatment (Control)
0.6885639,No Treatment (Control)
0.9652232,No Treatment (Control)
0.78388816,No Treatment (Control)
0.0024383,No Treatment (Control)
0.012368437,No Treatment (Control)
0.10157565,No Treatment (Control)
0.5486482,No Treatment (Control)
0.14365639,No Treatment (Control)
0.0032556674,No Treatment (Control)
0.044501252,No Treatment (Control)
0.011774613,No Treatment (Control)
0.87253743,No Treatment (Control)
0.8498521,No Treatment (Control)
0.35621223,No Treatment (Control)
0.9316718,No Treatment (Control)
0.062276825,No Treatment (Control)
0.6419702,No Treatment (Control)
0.206756,No Treatment (Control)
0.99934405,No Treatment (Control)
0.042040072,No Treatment (Control)
0.0070914323,No Treatment (Control)
0.9817298,No Treatment (Control)
0.03206476,No Treatment (Control)
0.49537256,No Treatment (Control)
0.05169683,No Treatment (Control)
0.0010499276,No Treatment (Control)
0.5492486,No Treatment (Control)
0.15672119,No Treatment (Control)
0.76966554,No Treatment (Control)
0.8220081,No Treatment (Control)
0.23618694,No Treatment (Control)
0.0892139,No Treatment (Control)
0.94451207,No Treatment (Control)
0.29443026,No Treatment (Control)
0.45666498,No Treatment (Control)
0.8786216,No Treatment (Control)
