Confidence of Model in Predicting True Label,Treatment
0.944698,FGSM Adversarial Training
0.48437992,FGSM Adversarial Training
0.90915066,FGSM Adversarial Training
0.040800076,FGSM Adversarial Training
0.4106181,FGSM Adversarial Training
0.92770785,FGSM Adversarial Training
0.26814684,FGSM Adversarial Training
0.8638184,FGSM Adversarial Training
0.48005742,FGSM Adversarial Training
0.9815436,FGSM Adversarial Training
0.98196167,FGSM Adversarial Training
0.42415383,FGSM Adversarial Training
0.32499608,FGSM Adversarial Training
0.99445283,FGSM Adversarial Training
0.47006267,FGSM Adversarial Training
0.27265015,FGSM Adversarial Training
0.92863035,FGSM Adversarial Training
0.032416277,FGSM Adversarial Training
0.76789117,FGSM Adversarial Training
0.9923409,FGSM Adversarial Training
0.044051584,FGSM Adversarial Training
0.9960151,FGSM Adversarial Training
0.94130623,FGSM Adversarial Training
0.7826213,FGSM Adversarial Training
0.71726364,FGSM Adversarial Training
0.8671854,FGSM Adversarial Training
0.9839249,FGSM Adversarial Training
0.94728655,FGSM Adversarial Training
0.29308212,FGSM Adversarial Training
0.05568214,FGSM Adversarial Training
0.74325585,FGSM Adversarial Training
0.25071472,FGSM Adversarial Training
0.09170141,FGSM Adversarial Training
0.99037695,FGSM Adversarial Training
0.1896599,FGSM Adversarial Training
0.9975237,FGSM Adversarial Training
0.9823044,FGSM Adversarial Training
0.5726983,FGSM Adversarial Training
0.91405314,FGSM Adversarial Training
0.7702077,FGSM Adversarial Training
0.97438335,FGSM Adversarial Training
0.9966841,FGSM Adversarial Training
0.9954612,FGSM Adversarial Training
0.9999284,FGSM Adversarial Training
0.9941736,FGSM Adversarial Training
0.6956446,FGSM Adversarial Training
0.24611841,FGSM Adversarial Training
0.41900098,FGSM Adversarial Training
0.080912754,FGSM Adversarial Training
0.014240463,FGSM Adversarial Training
0.4035489,FGSM Adversarial Training
0.96576744,FGSM Adversarial Training
0.7260267,FGSM Adversarial Training
0.53432494,FGSM Adversarial Training
0.69709826,FGSM Adversarial Training
0.71484786,FGSM Adversarial Training
0.0015535717,FGSM Adversarial Training
0.99750704,FGSM Adversarial Training
0.9223888,FGSM Adversarial Training
0.10492888,FGSM Adversarial Training
0.7917581,FGSM Adversarial Training
0.98638177,FGSM Adversarial Training
0.9528195,FGSM Adversarial Training
0.4035951,FGSM Adversarial Training
0.30325237,FGSM Adversarial Training
0.2144897,FGSM Adversarial Training
0.2818006,FGSM Adversarial Training
0.55078745,FGSM Adversarial Training
0.9905811,FGSM Adversarial Training
0.99777335,FGSM Adversarial Training
0.9515158,FGSM Adversarial Training
0.5063565,FGSM Adversarial Training
0.81862175,FGSM Adversarial Training
0.085249454,FGSM Adversarial Training
0.9987633,FGSM Adversarial Training
0.9403475,FGSM Adversarial Training
0.45288002,FGSM Adversarial Training
0.9040715,FGSM Adversarial Training
0.82561195,FGSM Adversarial Training
0.7949358,FGSM Adversarial Training
0.61719596,FGSM Adversarial Training
0.72444516,FGSM Adversarial Training
0.9960889,FGSM Adversarial Training
0.56982034,FGSM Adversarial Training
0.24119666,FGSM Adversarial Training
0.7912171,FGSM Adversarial Training
0.05180044,FGSM Adversarial Training
0.7585306,FGSM Adversarial Training
0.551245,FGSM Adversarial Training
0.04292427,FGSM Adversarial Training
0.3341004,FGSM Adversarial Training
0.9717188,FGSM Adversarial Training
0.9943192,FGSM Adversarial Training
0.92282563,FGSM Adversarial Training
0.70114046,FGSM Adversarial Training
0.8133669,FGSM Adversarial Training
0.9930298,FGSM Adversarial Training
0.039158925,FGSM Adversarial Training
0.14899468,FGSM Adversarial Training
0.9892716,FGSM Adversarial Training
0.00027225463,FGSM Adversarial Training
0.7395812,FGSM Adversarial Training
0.07652345,FGSM Adversarial Training
0.2886273,FGSM Adversarial Training
0.9920682,FGSM Adversarial Training
0.6538463,FGSM Adversarial Training
0.823209,FGSM Adversarial Training
0.9967343,FGSM Adversarial Training
0.7594676,FGSM Adversarial Training
0.5767483,FGSM Adversarial Training
0.89433974,FGSM Adversarial Training
0.59645617,FGSM Adversarial Training
0.52624273,FGSM Adversarial Training
0.98003733,FGSM Adversarial Training
0.99922544,FGSM Adversarial Training
0.20677893,FGSM Adversarial Training
0.9785991,FGSM Adversarial Training
0.77300656,FGSM Adversarial Training
0.99966705,FGSM Adversarial Training
0.3150794,FGSM Adversarial Training
0.9851744,FGSM Adversarial Training
0.07097284,FGSM Adversarial Training
0.15417211,FGSM Adversarial Training
0.11650184,FGSM Adversarial Training
0.69937736,FGSM Adversarial Training
0.17535812,FGSM Adversarial Training
0.5114598,FGSM Adversarial Training
0.9798094,FGSM Adversarial Training
0.97462857,FGSM Adversarial Training
0.035176013,FGSM Adversarial Training
0.9991941,FGSM Adversarial Training
0.65337497,FGSM Adversarial Training
0.009768483,FGSM Adversarial Training
0.95363194,FGSM Adversarial Training
0.363623,FGSM Adversarial Training
0.8210922,FGSM Adversarial Training
0.12103129,FGSM Adversarial Training
0.9941197,FGSM Adversarial Training
0.14675231,FGSM Adversarial Training
0.99601793,FGSM Adversarial Training
0.22873564,FGSM Adversarial Training
0.29903612,FGSM Adversarial Training
0.963501,FGSM Adversarial Training
0.9840894,FGSM Adversarial Training
0.98745584,FGSM Adversarial Training
0.8760695,FGSM Adversarial Training
0.84355986,FGSM Adversarial Training
0.9628062,FGSM Adversarial Training
0.97586524,FGSM Adversarial Training
0.8975907,FGSM Adversarial Training
0.82464963,FGSM Adversarial Training
0.21842302,FGSM Adversarial Training
0.78046864,FGSM Adversarial Training
0.9404967,FGSM Adversarial Training
0.9812641,FGSM Adversarial Training
0.06878291,FGSM Adversarial Training
0.5872744,FGSM Adversarial Training
0.9825873,FGSM Adversarial Training
0.9725044,FGSM Adversarial Training
0.98116565,FGSM Adversarial Training
0.8657293,FGSM Adversarial Training
0.999914,FGSM Adversarial Training
0.1478095,FGSM Adversarial Training
0.92531043,FGSM Adversarial Training
0.69743985,FGSM Adversarial Training
0.5830117,FGSM Adversarial Training
0.18199614,FGSM Adversarial Training
0.78585064,FGSM Adversarial Training
0.61490476,FGSM Adversarial Training
0.99501866,FGSM Adversarial Training
0.9738994,FGSM Adversarial Training
0.45272383,FGSM Adversarial Training
0.10533047,FGSM Adversarial Training
0.1926065,FGSM Adversarial Training
0.99663305,FGSM Adversarial Training
0.017684707,FGSM Adversarial Training
0.13688023,FGSM Adversarial Training
0.74137276,FGSM Adversarial Training
0.5608121,FGSM Adversarial Training
0.8713296,FGSM Adversarial Training
0.9919396,FGSM Adversarial Training
0.5652001,FGSM Adversarial Training
0.8421386,FGSM Adversarial Training
0.008859897,FGSM Adversarial Training
0.97764355,FGSM Adversarial Training
0.99772555,FGSM Adversarial Training
0.6311978,FGSM Adversarial Training
0.7366433,FGSM Adversarial Training
0.8060508,FGSM Adversarial Training
0.88669664,FGSM Adversarial Training
0.084472574,FGSM Adversarial Training
0.7267777,FGSM Adversarial Training
0.6368853,FGSM Adversarial Training
0.99988395,FGSM Adversarial Training
0.94771934,FGSM Adversarial Training
0.09482487,FGSM Adversarial Training
0.99586004,FGSM Adversarial Training
0.89736044,FGSM Adversarial Training
0.9757567,FGSM Adversarial Training
0.9967678,FGSM Adversarial Training
0.23718184,FGSM Adversarial Training
0.2360047,FGSM Adversarial Training
0.68031114,FGSM Adversarial Training
0.998249,FGSM Adversarial Training
0.17511037,FGSM Adversarial Training
0.8001976,FGSM Adversarial Training
0.09390976,FGSM Adversarial Training
0.2334832,FGSM Adversarial Training
0.07989465,FGSM Adversarial Training
0.8774632,FGSM Adversarial Training
0.98698723,FGSM Adversarial Training
0.20156653,FGSM Adversarial Training
0.978994,FGSM Adversarial Training
0.7545656,FGSM Adversarial Training
0.45906207,FGSM Adversarial Training
0.74795836,FGSM Adversarial Training
0.087786086,FGSM Adversarial Training
0.19681261,FGSM Adversarial Training
0.996202,FGSM Adversarial Training
0.027187392,FGSM Adversarial Training
0.023255074,FGSM Adversarial Training
0.9981657,FGSM Adversarial Training
0.9969393,FGSM Adversarial Training
0.9421602,FGSM Adversarial Training
0.28822196,FGSM Adversarial Training
0.9862378,FGSM Adversarial Training
0.7883769,FGSM Adversarial Training
0.04599842,FGSM Adversarial Training
0.99299306,FGSM Adversarial Training
0.97877145,FGSM Adversarial Training
0.009918106,FGSM Adversarial Training
0.24026866,FGSM Adversarial Training
0.99718463,FGSM Adversarial Training
0.07241887,FGSM Adversarial Training
0.81551445,FGSM Adversarial Training
0.12666388,FGSM Adversarial Training
0.0025988312,FGSM Adversarial Training
0.97336286,FGSM Adversarial Training
0.5312439,FGSM Adversarial Training
0.7279445,FGSM Adversarial Training
0.99881583,FGSM Adversarial Training
0.32213095,FGSM Adversarial Training
0.9907475,FGSM Adversarial Training
0.040375866,FGSM Adversarial Training
0.001003143,FGSM Adversarial Training
0.5613803,FGSM Adversarial Training
0.9902398,FGSM Adversarial Training
0.99784863,FGSM Adversarial Training
0.99423444,FGSM Adversarial Training
0.43731433,FGSM Adversarial Training
0.061217386,FGSM Adversarial Training
0.91393304,FGSM Adversarial Training
0.9853011,FGSM Adversarial Training
0.8757406,FGSM Adversarial Training
0.8967074,FGSM Adversarial Training
0.9898597,FGSM Adversarial Training
0.8884733,FGSM Adversarial Training
0.651804,FGSM Adversarial Training
0.65292513,FGSM Adversarial Training
0.2353304,FGSM Adversarial Training
0.46979693,FGSM Adversarial Training
0.9329781,FGSM Adversarial Training
0.106876254,FGSM Adversarial Training
0.3951711,FGSM Adversarial Training
0.9596932,FGSM Adversarial Training
0.16352087,FGSM Adversarial Training
0.8892661,FGSM Adversarial Training
0.9998038,FGSM Adversarial Training
0.96325475,FGSM Adversarial Training
0.5254075,FGSM Adversarial Training
0.44393352,FGSM Adversarial Training
0.9619762,FGSM Adversarial Training
0.094671026,FGSM Adversarial Training
0.9997438,FGSM Adversarial Training
0.33244264,FGSM Adversarial Training
0.9978418,FGSM Adversarial Training
0.52396065,FGSM Adversarial Training
0.82768667,FGSM Adversarial Training
0.95105773,FGSM Adversarial Training
0.93212473,FGSM Adversarial Training
0.9772827,FGSM Adversarial Training
0.8192517,FGSM Adversarial Training
0.063725084,FGSM Adversarial Training
0.0132632395,FGSM Adversarial Training
0.8693615,FGSM Adversarial Training
0.50163245,FGSM Adversarial Training
0.42463914,FGSM Adversarial Training
0.5602395,FGSM Adversarial Training
0.7154957,FGSM Adversarial Training
0.89363724,FGSM Adversarial Training
0.95284736,FGSM Adversarial Training
0.18096435,FGSM Adversarial Training
0.5204122,FGSM Adversarial Training
0.9070239,FGSM Adversarial Training
0.61237824,FGSM Adversarial Training
0.99952775,FGSM Adversarial Training
0.99217457,FGSM Adversarial Training
0.89555824,FGSM Adversarial Training
0.5232156,FGSM Adversarial Training
0.24391963,FGSM Adversarial Training
0.9352591,FGSM Adversarial Training
0.6676092,FGSM Adversarial Training
0.6588405,FGSM Adversarial Training
0.42775926,FGSM Adversarial Training
0.6235493,FGSM Adversarial Training
0.99614465,FGSM Adversarial Training
0.99953955,FGSM Adversarial Training
0.8156799,FGSM Adversarial Training
0.25095242,FGSM Adversarial Training
0.89290047,FGSM Adversarial Training
0.8127739,FGSM Adversarial Training
0.0066881226,FGSM Adversarial Training
0.0056143426,FGSM Adversarial Training
0.06930419,FGSM Adversarial Training
0.0050450973,FGSM Adversarial Training
0.69753104,FGSM Adversarial Training
0.97811174,FGSM Adversarial Training
0.98704964,FGSM Adversarial Training
0.9946563,FGSM Adversarial Training
0.8443731,FGSM Adversarial Training
0.7185916,FGSM Adversarial Training
0.9834735,FGSM Adversarial Training
0.99349254,FGSM Adversarial Training
0.97798485,FGSM Adversarial Training
0.99808574,FGSM Adversarial Training
0.042857107,FGSM Adversarial Training
0.8186939,FGSM Adversarial Training
0.0059758215,FGSM Adversarial Training
0.7347306,FGSM Adversarial Training
0.98445094,FGSM Adversarial Training
0.4480743,FGSM Adversarial Training
0.027895983,FGSM Adversarial Training
0.99316657,FGSM Adversarial Training
0.24655417,FGSM Adversarial Training
0.9639603,FGSM Adversarial Training
0.990069,FGSM Adversarial Training
0.71130913,FGSM Adversarial Training
0.917848,FGSM Adversarial Training
0.5294757,FGSM Adversarial Training
0.99983597,FGSM Adversarial Training
0.81726646,FGSM Adversarial Training
0.08424031,FGSM Adversarial Training
0.76430553,FGSM Adversarial Training
0.106187634,FGSM Adversarial Training
0.6249765,FGSM Adversarial Training
0.8892161,FGSM Adversarial Training
0.3155009,FGSM Adversarial Training
0.9463917,FGSM Adversarial Training
0.5330095,FGSM Adversarial Training
0.055076808,FGSM Adversarial Training
0.99646604,FGSM Adversarial Training
0.42470682,FGSM Adversarial Training
0.3387143,FGSM Adversarial Training
0.91372436,FGSM Adversarial Training
0.5780485,FGSM Adversarial Training
0.99603814,FGSM Adversarial Training
0.9994234,FGSM Adversarial Training
0.6894535,FGSM Adversarial Training
0.91065705,FGSM Adversarial Training
0.9981562,FGSM Adversarial Training
0.839029,FGSM Adversarial Training
0.99927473,FGSM Adversarial Training
0.104820244,FGSM Adversarial Training
0.9235733,FGSM Adversarial Training
0.61865854,FGSM Adversarial Training
0.038074333,FGSM Adversarial Training
0.84441453,FGSM Adversarial Training
0.68055564,FGSM Adversarial Training
0.15506539,FGSM Adversarial Training
0.79247904,FGSM Adversarial Training
0.3218619,FGSM Adversarial Training
0.6843474,FGSM Adversarial Training
0.9493544,FGSM Adversarial Training
0.9796213,FGSM Adversarial Training
0.74024665,FGSM Adversarial Training
0.027053498,FGSM Adversarial Training
0.77665555,FGSM Adversarial Training
0.99963665,FGSM Adversarial Training
0.9518017,FGSM Adversarial Training
0.9995107,FGSM Adversarial Training
0.013078971,FGSM Adversarial Training
0.98528576,FGSM Adversarial Training
0.40805116,FGSM Adversarial Training
0.78076166,FGSM Adversarial Training
0.88908505,FGSM Adversarial Training
0.13273565,FGSM Adversarial Training
0.19794531,FGSM Adversarial Training
0.9936224,FGSM Adversarial Training
0.46187314,FGSM Adversarial Training
0.69658345,FGSM Adversarial Training
0.9999973,FGSM Adversarial Training
0.90332204,FGSM Adversarial Training
0.558564,FGSM Adversarial Training
0.024453375,FGSM Adversarial Training
0.7898416,FGSM Adversarial Training
0.8912635,FGSM Adversarial Training
0.9363149,FGSM Adversarial Training
0.987269,FGSM Adversarial Training
0.18307419,FGSM Adversarial Training
0.08586899,FGSM Adversarial Training
0.9290386,FGSM Adversarial Training
0.33208346,FGSM Adversarial Training
0.18696678,FGSM Adversarial Training
0.7547473,FGSM Adversarial Training
0.992064,FGSM Adversarial Training
0.14241144,FGSM Adversarial Training
0.9946975,FGSM Adversarial Training
0.7149387,FGSM Adversarial Training
0.2775966,FGSM Adversarial Training
0.9556359,FGSM Adversarial Training
0.94156593,FGSM Adversarial Training
0.5662616,FGSM Adversarial Training
0.88087326,FGSM Adversarial Training
0.960739,FGSM Adversarial Training
0.7386532,FGSM Adversarial Training
0.99995893,FGSM Adversarial Training
0.98922986,FGSM Adversarial Training
0.30194885,FGSM Adversarial Training
0.6560984,FGSM Adversarial Training
0.9993388,FGSM Adversarial Training
0.99309474,FGSM Adversarial Training
0.9328978,FGSM Adversarial Training
0.3941758,FGSM Adversarial Training
0.11647232,FGSM Adversarial Training
0.96212906,FGSM Adversarial Training
0.08918528,FGSM Adversarial Training
0.06720126,FGSM Adversarial Training
0.99667513,FGSM Adversarial Training
0.9981105,FGSM Adversarial Training
0.99435014,FGSM Adversarial Training
0.04924656,FGSM Adversarial Training
0.9824517,FGSM Adversarial Training
0.8853725,FGSM Adversarial Training
0.9824882,FGSM Adversarial Training
0.13389085,FGSM Adversarial Training
0.937481,FGSM Adversarial Training
0.99667037,FGSM Adversarial Training
0.4433695,FGSM Adversarial Training
0.0017113813,FGSM Adversarial Training
0.89951974,FGSM Adversarial Training
0.6942704,FGSM Adversarial Training
0.77856874,FGSM Adversarial Training
0.0643547,FGSM Adversarial Training
0.059108384,FGSM Adversarial Training
0.99973166,FGSM Adversarial Training
0.92487603,FGSM Adversarial Training
0.975261,FGSM Adversarial Training
0.7072148,FGSM Adversarial Training
0.9935958,FGSM Adversarial Training
0.98760474,FGSM Adversarial Training
0.5030869,FGSM Adversarial Training
0.8938095,FGSM Adversarial Training
0.9997449,FGSM Adversarial Training
1.75E-05,FGSM Adversarial Training
0.85042006,FGSM Adversarial Training
0.012537726,FGSM Adversarial Training
0.00037147672,FGSM Adversarial Training
0.0002461522,FGSM Adversarial Training
0.9616848,FGSM Adversarial Training
0.9960171,FGSM Adversarial Training
0.48224822,FGSM Adversarial Training
0.44218135,FGSM Adversarial Training
0.30989695,FGSM Adversarial Training
0.99099624,FGSM Adversarial Training
0.10383499,FGSM Adversarial Training
0.9901324,FGSM Adversarial Training
0.85334945,FGSM Adversarial Training
0.9996717,FGSM Adversarial Training
0.7538362,FGSM Adversarial Training
0.15184873,FGSM Adversarial Training
0.08758394,FGSM Adversarial Training
0.78998554,FGSM Adversarial Training
0.2584173,FGSM Adversarial Training
0.1956023,FGSM Adversarial Training
0.92138344,FGSM Adversarial Training
0.951842,FGSM Adversarial Training
0.8157657,FGSM Adversarial Training
0.98205554,FGSM Adversarial Training
0.049804024,FGSM Adversarial Training
0.970567,FGSM Adversarial Training
0.9999189,FGSM Adversarial Training
0.9850353,FGSM Adversarial Training
0.255007,FGSM Adversarial Training
0.9999482,FGSM Adversarial Training
0.38257098,FGSM Adversarial Training
0.9888405,FGSM Adversarial Training
0.6509828,FGSM Adversarial Training
0.99624276,FGSM Adversarial Training
0.18942437,FGSM Adversarial Training
0.024821857,FGSM Adversarial Training
0.7652781,FGSM Adversarial Training
0.89034307,FGSM Adversarial Training
0.8864973,FGSM Adversarial Training
0.9996705,FGSM Adversarial Training
0.91842854,FGSM Adversarial Training
0.029934715,FGSM Adversarial Training
0.93400675,FGSM Adversarial Training
0.9946548,FGSM Adversarial Training
0.90627515,FGSM Adversarial Training
0.96466285,FGSM Adversarial Training
0.8167633,FGSM Adversarial Training
0.9221101,FGSM Adversarial Training
0.79857534,FGSM Adversarial Training
0.9855954,FGSM Adversarial Training
0.45382485,FGSM Adversarial Training
0.12069433,FGSM Adversarial Training
0.5206965,FGSM Adversarial Training
0.14118974,FGSM Adversarial Training
0.99716204,FGSM Adversarial Training
0.022059899,FGSM Adversarial Training
0.597105,FGSM Adversarial Training
0.7618435,FGSM Adversarial Training
0.99797165,FGSM Adversarial Training
0.6421687,FGSM Adversarial Training
0.6808298,FGSM Adversarial Training
0.8032814,FGSM Adversarial Training
0.6102441,FGSM Adversarial Training
0.9442218,FGSM Adversarial Training
0.9997091,FGSM Adversarial Training
0.984038,FGSM Adversarial Training
0.98541254,FGSM Adversarial Training
0.14968072,FGSM Adversarial Training
0.45233354,FGSM Adversarial Training
0.6367438,FGSM Adversarial Training
0.5689065,FGSM Adversarial Training
0.19463205,FGSM Adversarial Training
0.74313766,FGSM Adversarial Training
0.9982591,FGSM Adversarial Training
0.9906798,FGSM Adversarial Training
0.9816741,FGSM Adversarial Training
0.902706,FGSM Adversarial Training
0.4403079,FGSM Adversarial Training
0.95898163,FGSM Adversarial Training
0.38751692,FGSM Adversarial Training
0.24694188,FGSM Adversarial Training
0.37747875,FGSM Adversarial Training
0.01588164,FGSM Adversarial Training
0.098233834,FGSM Adversarial Training
0.8961297,FGSM Adversarial Training
0.5310093,FGSM Adversarial Training
0.9481376,FGSM Adversarial Training
0.80513775,FGSM Adversarial Training
0.9450087,FGSM Adversarial Training
0.99691504,FGSM Adversarial Training
0.38965136,FGSM Adversarial Training
0.8397353,FGSM Adversarial Training
0.8537211,FGSM Adversarial Training
0.090343796,FGSM Adversarial Training
0.5186433,FGSM Adversarial Training
0.9998419,FGSM Adversarial Training
0.9782866,FGSM Adversarial Training
0.76326656,FGSM Adversarial Training
0.990726,FGSM Adversarial Training
0.9401529,FGSM Adversarial Training
0.99963146,FGSM Adversarial Training
0.2931916,FGSM Adversarial Training
0.20340756,FGSM Adversarial Training
0.8852479,FGSM Adversarial Training
0.99769104,FGSM Adversarial Training
0.19004785,FGSM Adversarial Training
0.44295835,FGSM Adversarial Training
0.92051995,FGSM Adversarial Training
0.6473098,FGSM Adversarial Training
0.31194654,FGSM Adversarial Training
0.849788,FGSM Adversarial Training
0.97493947,FGSM Adversarial Training
0.0222963,FGSM Adversarial Training
0.9345263,FGSM Adversarial Training
0.6429511,FGSM Adversarial Training
0.93127954,FGSM Adversarial Training
0.9974445,FGSM Adversarial Training
0.9671,FGSM Adversarial Training
0.28550673,FGSM Adversarial Training
0.6398566,FGSM Adversarial Training
0.808664,FGSM Adversarial Training
0.99313253,FGSM Adversarial Training
0.8602097,FGSM Adversarial Training
0.5368975,FGSM Adversarial Training
0.0002561956,FGSM Adversarial Training
0.3638939,FGSM Adversarial Training
0.94695115,FGSM Adversarial Training
0.974454,FGSM Adversarial Training
0.06424883,FGSM Adversarial Training
0.21522416,FGSM Adversarial Training
0.04130262,FGSM Adversarial Training
0.9788799,FGSM Adversarial Training
0.90623915,FGSM Adversarial Training
0.9975541,FGSM Adversarial Training
0.89030826,FGSM Adversarial Training
0.033342425,FGSM Adversarial Training
0.22777396,FGSM Adversarial Training
0.5525153,FGSM Adversarial Training
0.42664763,FGSM Adversarial Training
0.9815565,FGSM Adversarial Training
0.4307739,FGSM Adversarial Training
0.49552736,FGSM Adversarial Training
0.44235665,FGSM Adversarial Training
0.19720697,FGSM Adversarial Training
0.7787865,FGSM Adversarial Training
0.07879841,FGSM Adversarial Training
0.5277829,FGSM Adversarial Training
0.22914234,FGSM Adversarial Training
0.8753152,FGSM Adversarial Training
0.98247904,FGSM Adversarial Training
0.9770704,FGSM Adversarial Training
0.8653271,FGSM Adversarial Training
0.015970552,FGSM Adversarial Training
0.098921746,FGSM Adversarial Training
0.9933649,FGSM Adversarial Training
0.99584985,FGSM Adversarial Training
0.928399,FGSM Adversarial Training
0.9800091,FGSM Adversarial Training
0.9838672,FGSM Adversarial Training
0.7526444,FGSM Adversarial Training
0.069597036,FGSM Adversarial Training
0.09646785,FGSM Adversarial Training
0.9897068,FGSM Adversarial Training
0.99976563,FGSM Adversarial Training
0.36968988,FGSM Adversarial Training
0.95590836,FGSM Adversarial Training
0.3437158,FGSM Adversarial Training
0.9895373,FGSM Adversarial Training
0.9981502,FGSM Adversarial Training
0.91430604,FGSM Adversarial Training
0.29540056,FGSM Adversarial Training
0.98282987,FGSM Adversarial Training
0.89292115,FGSM Adversarial Training
0.9866361,FGSM Adversarial Training
0.7810994,FGSM Adversarial Training
0.94686365,FGSM Adversarial Training
0.99975395,FGSM Adversarial Training
0.056819938,FGSM Adversarial Training
0.18785729,FGSM Adversarial Training
0.9492423,FGSM Adversarial Training
0.7798121,FGSM Adversarial Training
0.38413352,FGSM Adversarial Training
0.7568395,FGSM Adversarial Training
0.999691,FGSM Adversarial Training
0.08590998,FGSM Adversarial Training
0.98164135,FGSM Adversarial Training
0.6111711,FGSM Adversarial Training
0.72968346,FGSM Adversarial Training
0.96143985,FGSM Adversarial Training
0.140293,FGSM Adversarial Training
0.36798233,FGSM Adversarial Training
0.7766997,FGSM Adversarial Training
0.8046078,FGSM Adversarial Training
0.5928387,FGSM Adversarial Training
0.25647974,FGSM Adversarial Training
0.33592334,FGSM Adversarial Training
0.8246239,FGSM Adversarial Training
0.072125435,FGSM Adversarial Training
0.98421884,FGSM Adversarial Training
0.9814381,FGSM Adversarial Training
0.008620037,FGSM Adversarial Training
0.7273603,FGSM Adversarial Training
0.97858834,FGSM Adversarial Training
0.9636666,FGSM Adversarial Training
0.5282899,FGSM Adversarial Training
0.013105712,FGSM Adversarial Training
0.99017817,FGSM Adversarial Training
0.89153475,FGSM Adversarial Training
0.22152849,FGSM Adversarial Training
0.9693041,FGSM Adversarial Training
0.61830884,FGSM Adversarial Training
0.1930584,FGSM Adversarial Training
0.90632963,FGSM Adversarial Training
0.0052251923,FGSM Adversarial Training
0.9992152,FGSM Adversarial Training
0.9619036,FGSM Adversarial Training
0.99201703,FGSM Adversarial Training
0.09979276,FGSM Adversarial Training
0.057083376,FGSM Adversarial Training
0.99159443,FGSM Adversarial Training
0.28438544,FGSM Adversarial Training
0.40757173,FGSM Adversarial Training
0.9992833,FGSM Adversarial Training
0.035541788,FGSM Adversarial Training
0.59045845,FGSM Adversarial Training
0.9972149,FGSM Adversarial Training
0.8805996,FGSM Adversarial Training
0.9848519,FGSM Adversarial Training
0.35362053,FGSM Adversarial Training
0.961182,FGSM Adversarial Training
0.89724565,FGSM Adversarial Training
0.9275467,FGSM Adversarial Training
0.7594248,FGSM Adversarial Training
0.99655217,FGSM Adversarial Training
0.16652587,FGSM Adversarial Training
0.0774493,FGSM Adversarial Training
0.9711873,FGSM Adversarial Training
0.9394002,FGSM Adversarial Training
0.9926756,FGSM Adversarial Training
0.012715321,FGSM Adversarial Training
0.99250406,FGSM Adversarial Training
0.0053433077,FGSM Adversarial Training
0.9975049,FGSM Adversarial Training
0.9999804,FGSM Adversarial Training
0.69963974,FGSM Adversarial Training
0.9694178,FGSM Adversarial Training
0.8928437,FGSM Adversarial Training
0.9365469,FGSM Adversarial Training
0.9991799,FGSM Adversarial Training
0.6213366,FGSM Adversarial Training
0.1696663,FGSM Adversarial Training
0.39519048,FGSM Adversarial Training
0.31756774,FGSM Adversarial Training
0.03025235,FGSM Adversarial Training
0.9970522,FGSM Adversarial Training
0.09596956,FGSM Adversarial Training
0.028126404,FGSM Adversarial Training
0.7165851,FGSM Adversarial Training
0.9502071,FGSM Adversarial Training
0.97261405,FGSM Adversarial Training
0.36760208,FGSM Adversarial Training
0.57528234,FGSM Adversarial Training
0.90251607,FGSM Adversarial Training
0.9345487,FGSM Adversarial Training
0.037554342,FGSM Adversarial Training
0.9089943,FGSM Adversarial Training
0.9768532,FGSM Adversarial Training
0.99589664,FGSM Adversarial Training
0.30311322,FGSM Adversarial Training
0.9900429,FGSM Adversarial Training
0.11576612,FGSM Adversarial Training
0.010633594,FGSM Adversarial Training
0.9847196,FGSM Adversarial Training
0.9849908,FGSM Adversarial Training
0.44783294,FGSM Adversarial Training
0.9857876,FGSM Adversarial Training
0.21648428,FGSM Adversarial Training
0.94893533,FGSM Adversarial Training
0.93598425,FGSM Adversarial Training
0.3495107,FGSM Adversarial Training
0.70494926,FGSM Adversarial Training
0.4926009,FGSM Adversarial Training
0.29693466,FGSM Adversarial Training
0.16686651,FGSM Adversarial Training
0.9996524,FGSM Adversarial Training
0.5729848,FGSM Adversarial Training
0.08684863,FGSM Adversarial Training
0.9216404,FGSM Adversarial Training
0.14651129,FGSM Adversarial Training
0.12488682,FGSM Adversarial Training
0.98513013,FGSM Adversarial Training
0.9993258,FGSM Adversarial Training
0.5752838,FGSM Adversarial Training
0.36815378,FGSM Adversarial Training
0.9980996,FGSM Adversarial Training
0.96576136,FGSM Adversarial Training
0.96928144,FGSM Adversarial Training
0.02954994,FGSM Adversarial Training
0.88126576,FGSM Adversarial Training
0.9172232,FGSM Adversarial Training
0.6370301,FGSM Adversarial Training
0.96344817,FGSM Adversarial Training
0.782923,FGSM Adversarial Training
0.07509359,FGSM Adversarial Training
0.9853628,FGSM Adversarial Training
0.13509831,FGSM Adversarial Training
0.9919292,FGSM Adversarial Training
0.12604292,FGSM Adversarial Training
0.45746318,FGSM Adversarial Training
0.009528021,FGSM Adversarial Training
0.66645074,FGSM Adversarial Training
0.9289653,FGSM Adversarial Training
0.9726132,FGSM Adversarial Training
0.9498304,FGSM Adversarial Training
0.90905863,FGSM Adversarial Training
0.9872419,FGSM Adversarial Training
0.78149694,FGSM Adversarial Training
0.9793125,FGSM Adversarial Training
0.17936213,FGSM Adversarial Training
0.9998653,FGSM Adversarial Training
0.9967726,FGSM Adversarial Training
0.9460278,FGSM Adversarial Training
0.99233675,FGSM Adversarial Training
